"vp","age","sex","study","semester","trials","percent_valid","percent_correct","m_overall","m_co0","m_co1","m_dif_overall","m_co0cu1","m_co0cu3","m_co1cu1","m_co1cu3","m_dif_cu1","m_dif_cu3","m_co0p26","m_co0p37","m_co0p61","m_co1p26","m_co1p37","m_co1p61","m_dif_cu1_26","m_dif_cu1_37","m_dif_cu1_61","m_co0pc1","m_co0pc2","m_co0pc3","m_co0pc4","m_co0pc5","m_co0pc6","m_co1pc1","m_co1pc2","m_co1pc3","m_co1pc4","m_co1pc5","m_co1pc6","m_dif_cu3_pc1","m_dif_cu3_pc2","m_dif_cu3_pc3","m_dif_cu3_pc4","m_dif_cu3_pc5","m_dif_cu3_pc6","aqk1","aqk2","aqk3","aqk4","aqk5","aqk6","aqk7","aqk8","aqk9","aqk10","aqk11","aqk12","aqk13","aqk14","aqk15","aqk16","aqk17","aqk18","aqk19","aqk20","aqk21","aqk22","aqk23","aqk24","aqk25","aqk26","aqk27","aqk28","aqk29","aqk30","aqk31","aqk32","aqk33","aq_social","aq_imagination","aq_communication","aq_sumscore","siasd1","siasd2","siasd3","siasd4","siasd5","siasd6","siasd7","siasd8","siasd9","siasd10","siasd11","siasd12","siasd13","siasd14","siasd15","siasd16","siasd17","siasd18","siasd19","siasd20","sias","fze1","fze2","p26a","p26v","p61a","p61v","p37a","p37v","research","strategy","Bemerkung"
"22",22,1,"1",6,384,95.1,87.2,512.148,533.333,506.305,-27.028,547.964,519.047,523.952,488.869,-24.0120000000001,-30.178,519.75,525.483,511.679,505.607,472.571,488.429,-14.143,-52.9119999999999,-23.25,579.533,553.75,526.571,517.938,541.071,575.75,499,507.25,568.5,525.733,529.333,514.6,-80.533,-46.5,41.929,7.79499999999996,-11.7380000000001,-61.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,3,2,3,1,3,1,3,1,"Facial Priming durch Blickrichtung","0",""
"23",20,1,"1",1,384,99,82.3,440.205,455.188,454.63,-0.557999999999993,468.52,442.532,470.5,440.605,1.98000000000002,-1.92699999999996,431.786,442.84,453.808,428.833,440.222,453.138,-2.95299999999997,-2.61799999999999,-0.670000000000016,474.583,436.923,448.727,487.083,463.583,494.667,470.643,521.923,424.214,453.917,494.545,463.167,-3.94000000000005,85,-24.513,-33.1660000000001,30.962,-31.5,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,5,5,11,1,0,1,2,2,0,1,0,4,1,3,2,1,1,2,2,1,2,3,1,30,4,3,5,4,4,2,4,4,"Priming, Aufmerksamkeit mit Hilfe von Reaktionszeit, Schönheit von Gesichtern ","Im Kopf den Buchstaben ""sagen"" und versuchen mit den Fingern zu ""verknüpfen""",""
"24",20,1,"1",3,384,99.2,94.3,525.549,534.7,520.769,-13.931,530.843,538.473,508.899,532.129,-21.944,-6.34399999999994,544.688,537.103,533.167,529.414,541.719,525,-15.274,4.6160000000001,-8.16700000000003,535,560.8,484.933,575.786,525.625,506.533,515.867,511.6,524,498.067,504.067,499.143,-19.133,-49.1999999999999,39.067,-77.7189999999999,-21.558,-7.39000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,8,3,3,4,4,3,4,3,4,"wie sich Häufigkeit der Betrachtung auf Wahrnehmung der Vertrautheit & Attraktivität der Person ausgewirkt hat","auf Fixationskreuz schauen, Finger/Tasten bewusst machen ",""
"25",22,1,"1",6,384,93.5,89.1,565.134,564.425,569.125,4.70000000000005,562.682,566.09,575.123,563.54,12.441,-2.55000000000007,559.767,574.333,564.103,576,540.935,576.103,16.2329999999999,-33.398,12,592.562,585.062,539.769,562.833,507.5,579.286,579.125,565.25,572.385,569.917,599.357,561.786,-13.437,-19.812,32.616,7.08400000000006,91.857,-17.5,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,4,2,3,9,1,0,0,0,1,0,0,0,2,1,3,0,0,1,1,0,0,0,1,1,12,4,3,5,2,4,4,3,4,"wie die Blickrichtung das Erkennen von cues beeinflusst?","0",""
"26",23,1,"1",6,384,94.8,85.2,547.684,567.413,534.012,-33.4010000000001,551.78,583.846,531.663,536.333,-20.117,-47.513,581.577,590.333,579.2,549.833,540.179,516.615,-31.744,-50.154,-62.585,541.562,595.231,533.364,540.538,517.5,580.267,555.917,510.5,553.4,536.5,525.857,509.714,14.355,-84.731,20.0359999999999,-4.03800000000001,8.35699999999997,-70.5530000000001,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,7,5,5,17,3,3,3,3,3,3,3,33,3,3,3,4,2,3,4,2,3,3,3,3,90,2,2,3,3,3,1,3,5,"ob ein Reiz schneller erkannt wird, wenn in die Richtung des Bildes gesehen wird","versucht die Frauenbilder zu ignorieren und nur auf das Fixationskreuz zu schauen",""
"27",21,1,"1",2,384,98.4,90.9,488.664,499.349,488.678,-10.671,497.286,501.318,492.427,484.886,-4.85899999999998,-16.432,528.355,506.481,468.733,474.633,504.759,475.621,-53.722,-1.72199999999998,6.88799999999998,491.333,481.923,478.182,502.429,515,507.375,484.2,472.267,491.133,484.267,530.071,495.133,-7.13300000000004,-9.65600000000001,12.951,-18.162,15.071,-12.242,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,5,3,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,21,3,3,1,5,3,4,1,5,"0","Aufmerksamkeit nicht auf die Fotos der Personen sondern nur auf Kreuz und Buchstaben zu richten",""
"28",23,1,"1",6,384,95.6,90.4,522.433,527.9,524.282,-3.61799999999994,528.716,527.024,509.379,538.689,-19.337,11.665,526.037,528.679,526.296,538.767,538.935,538.345,12.73,10.256,12.049,530.462,511.812,520.8,527.231,540.375,542,514.714,514.643,510.333,524.6,486.6,505.857,-15.7479999999999,2.83100000000002,-10.4669999999999,-2.63099999999997,-53.775,-36.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,5,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,14,3,2,2,3,2,3,3,3,"Vorhersagbarkeit Blick + Hinweisreiz, damit verbundene RTs und Fehler","0",""
"29",21,1,"1",3,384,98.2,93,510.106,526.454,500.415,-26.0389999999999,520.08,532.828,501.804,499.011,-18.2760000000001,-33.817,538.733,548.935,506.808,492.067,497.133,507.548,-46.6659999999999,-51.802,0.740000000000009,511.125,521.846,557,519.067,515.4,493.308,476.875,510.688,519,504.75,487.933,513.6,-34.25,-11.158,-38,-14.317,-27.467,20.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,2,1,0,1,0,1,1,0,0,1,13,3,3,5,5,2,5,2,5,"Priming-Effekte","0","Tastenbelegung unbequem"
"30",21,1,"1",5,384,98.4,95.8,527.812,530.712,529.886,-0.826000000000022,534.63,526.793,528.711,531.011,-5.91899999999998,4.21799999999996,532.483,527.688,520.548,530.581,562.188,499.258,-1.90199999999993,34.5,-21.29,527.6,529.75,574.438,513.308,514.188,544.062,521.667,533.312,539.688,542.286,504.357,529.2,-5.93299999999999,3.56200000000001,-34.75,28.978,-9.83099999999996,-14.862,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,1,0,0,0,1,0,1,2,1,1,1,0,0,1,1,0,11,3,4,4,1,3,1,2,1,"Ob sich die Blickrichtung der Frauen auf den Bildern auf die Reaktionszeiten auswirken (Priming)","0",""
"31",22,1,"1",6,384,96.4,92.2,533.132,534.449,533.784,-0.664999999999964,537.809,531.09,528.471,538.978,-9.33799999999997,7.88799999999992,502.138,538.633,551.533,546.161,541.067,528.786,44.023,2.43399999999997,-22.7470000000001,536.929,530.812,544.786,562.8,530.125,521.714,563.357,521.312,503.357,484.8,530.429,571.714,26.428,-9.5,-41.4289999999999,-77.9999999999999,0.303999999999974,50,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,3,4,8,1,0,1,0,2,0,0,1,3,1,3,1,0,1,1,2,1,1,1,1,21,2,3,4,4,3,3,4,3,"ob die Blickrichtung des Bildes die Reaktionszeit/Fehlerrate erhöht","statt E und F habe ich häufig anders/gleich wie vorher gedacht",""
